country,year,expenditure_usd,currency_basis,source
Algeria,1984,826847307.5379114,Constant (2024) US$,sipri
Algeria,1985,774579637.8812678,Constant (2024) US$,sipri
Algeria,1986,762216375.3445169,Constant (2024) US$,sipri
Algeria,1987,777021041.9322877,Constant (2024) US$,sipri
Algeria,1988,768911526.8354551,Constant (2024) US$,sipri
Algeria,1989,751559746.8419193,Constant (2024) US$,sipri
Algeria,1990,802862515.9160705,Constant (2024) US$,sipri
Algeria,1991,821930955.3516693,Constant (2024) US$,sipri
Algeria,1992,1375367325.4005237,Constant (2024) US$,sipri
Algeria,1993,1478838330.6955712,Constant (2024) US$,sipri
Algeria,1994,1799096723.1056287,Constant (2024) US$,sipri
Algeria,1995,1743116784.43658,Constant (2024) US$,sipri
Algeria,1996,1984366271.4990425,Constant (2024) US$,sipri
Algeria,1997,2387469785.2840786,Constant (2024) US$,sipri
Algeria,1998,2525044233.9826407,Constant (2024) US$,sipri
Algeria,1999,2666054922.9507904,Constant (2024) US$,sipri
Algeria,2000,3094818218.0374017,Constant (2024) US$,sipri
Algeria,2001,3388148590.021692,Constant (2024) US$,sipri
Algeria,2002,3461790401.188996,Constant (2024) US$,sipri
Algeria,2003,3387442140.593871,Constant (2024) US$,sipri
Algeria,2004,3852779798.653818,Constant (2024) US$,sipri
Algeria,2005,4033419408.1421213,Constant (2024) US$,sipri
Algeria,2006,4134484343.1839843,Constant (2024) US$,sipri
Algeria,2007,4850870721.029414,Constant (2024) US$,sipri
Algeria,2008,5652115206.336197,Constant (2024) US$,sipri
Algeria,2009,6138555966.276835,Constant (2024) US$,sipri
Algeria,2010,6496482079.866319,Constant (2024) US$,sipri
Algeria,2011,9299726173.411266,Constant (2024) US$,sipri
Algeria,2012,9783820538.128433,Constant (2024) US$,sipri
Algeria,2013,10568037909.92215,Constant (2024) US$,sipri
Algeria,2014,12170897604.053629,Constant (2024) US$,sipri
Algeria,2015,12733065203.949095,Constant (2024) US$,sipri
Algeria,2016,12771057021.939407,Constant (2024) US$,sipri
Algeria,2017,12094810557.680298,Constant (2024) US$,sipri
Algeria,2018,11599483833.97649,Constant (2024) US$,sipri
Algeria,2019,12513907106.762829,Constant (2024) US$,sipri
Algeria,2020,12222085136.722328,Constant (2024) US$,sipri
Algeria,2021,11395370276.516937,Constant (2024) US$,sipri
Algeria,2022,11022402087.973917,Constant (2024) US$,sipri
Algeria,2023,19281144486.44784,Constant (2024) US$,sipri
Algeria,2024,21811242555.031273,Constant (2024) US$,sipri
Algeria,2025,24128442879.148968,Constant (2024) US$,sipri
Angola,1988,248454535.4471605,Constant (2024) US$,sipri
Angola,1989,318849054.32226473,Constant (2024) US$,sipri
Angola,1990,277592245.82468385,Constant (2024) US$,sipri
Angola,1991,166101615.5868681,Constant (2024) US$,sipri
Angola,1992,145290014.3173531,Constant (2024) US$,sipri
Angola,1993,2326497438.9648366,Constant (2024) US$,sipri
Angola,1994,10107672008.25371,Constant (2024) US$,sipri
Angola,1995,1090423839.2319534,Constant (2024) US$,sipri
Angola,1996,816844470.7895684,Constant (2024) US$,sipri
Angola,1997,1309181143.5578833,Constant (2024) US$,sipri
Angola,1998,403804052.3635561,Constant (2024) US$,sipri
Angola,1999,5160614755.289706,Constant (2024) US$,sipri
Angola,2000,2390509547.2748528,Constant (2024) US$,sipri
Angola,2001,1440471391.3552067,Constant (2024) US$,sipri
Angola,2002,1476553634.3308802,Constant (2024) US$,sipri
Angola,2003,1949898565.8030515,Constant (2024) US$,sipri
Angola,2004,1855991703.794125,Constant (2024) US$,sipri
Angola,2005,2629606408.312777,Constant (2024) US$,sipri
Angola,2006,3088843625.223163,Constant (2024) US$,sipri
Angola,2007,2709142358.1778316,Constant (2024) US$,sipri
Angola,2008,3667427066.7005,Constant (2024) US$,sipri
Angola,2009,3568309467.489334,Constant (2024) US$,sipri
Angola,2010,3818291776.692647,Constant (2024) US$,sipri
Angola,2011,3575185472.9055185,Constant (2024) US$,sipri
Angola,2012,3752207313.50389,Constant (2024) US$,sipri
Angola,2013,5124871230.961788,Constant (2024) US$,sipri
Angola,2014,5468864081.559905,Constant (2024) US$,sipri
Angola,2015,3219233784.6827297,Constant (2024) US$,sipri
Angola,2016,2571912914.2895756,Constant (2024) US$,sipri
Angola,2017,2225215471.508401,Constant (2024) US$,sipri
Angola,2018,1834629500.4825761,Constant (2024) US$,sipri
Angola,2019,1676388472.8588276,Constant (2024) US$,sipri
Angola,2020,1467441470.0070326,Constant (2024) US$,sipri
Angola,2021,1250412610.6421964,Constant (2024) US$,sipri
Angola,2022,1252658255.8358707,Constant (2024) US$,sipri
Angola,2023,1260222512.2695403,Constant (2024) US$,sipri
Angola,2024,924256506.0599262,Constant (2024) US$,sipri
Angola,2025,1263380520.9363878,Constant (2024) US$,sipri
Argentina,1949,5610886402.575427,Constant (2024) US$,sipri
Argentina,1950,4447633217.392488,Constant (2024) US$,sipri
Argentina,1951,3014801212.111109,Constant (2024) US$,sipri
Argentina,1952,3070354274.4879045,Constant (2024) US$,sipri
Argentina,1953,4003504798.5983067,Constant (2024) US$,sipri
Argentina,1954,3814567033.8059115,Constant (2024) US$,sipri
Argentina,1955,3851777276.8322153,Constant (2024) US$,sipri
Argentina,1956,3605438845.7214584,Constant (2024) US$,sipri
Argentina,1957,6398924953.627421,Constant (2024) US$,sipri
Argentina,1958,3445790370.6224947,Constant (2024) US$,sipri
Argentina,1959,1939341214.350523,Constant (2024) US$,sipri
Argentina,1960,2904513846.461546,Constant (2024) US$,sipri
Argentina,1961,3536421512.418784,Constant (2024) US$,sipri
Argentina,1962,3425597115.7153106,Constant (2024) US$,sipri
Argentina,1963,3492433075.3010116,Constant (2024) US$,sipri
Argentina,1964,2934594747.8869305,Constant (2024) US$,sipri
Argentina,1965,2830387978.470924,Constant (2024) US$,sipri
Argentina,1966,2927668484.888532,Constant (2024) US$,sipri
Argentina,1967,3259290707.895411,Constant (2024) US$,sipri
Argentina,1968,3939872227.922519,Constant (2024) US$,sipri
Argentina,1969,4810843391.328705,Constant (2024) US$,sipri
Argentina,1970,4617930780.149624,Constant (2024) US$,sipri
Argentina,1971,4766023402.580487,Constant (2024) US$,sipri
Argentina,1972,4902385183.629484,Constant (2024) US$,sipri
Argentina,1973,5135878170.548125,Constant (2024) US$,sipri
Argentina,1974,5226632638.7957,Constant (2024) US$,sipri
Argentina,1975,6634988403.089819,Constant (2024) US$,sipri
Argentina,1976,11988607955.273615,Constant (2024) US$,sipri
Argentina,1977,12698032322.774286,Constant (2024) US$,sipri
Argentina,1978,13568311678.73542,Constant (2024) US$,sipri
Argentina,1979,14097895338.564812,Constant (2024) US$,sipri
Argentina,1980,12547035973.564894,Constant (2024) US$,sipri
Argentina,1981,13355224835.563381,Constant (2024) US$,sipri
Argentina,1982,11509553048.620453,Constant (2024) US$,sipri
Argentina,1983,13159824137.495653,Constant (2024) US$,sipri
Argentina,1984,10325325821.851397,Constant (2024) US$,sipri
Argentina,1985,9540015043.771612,Constant (2024) US$,sipri
Argentina,1986,9502238945.258503,Constant (2024) US$,sipri
Argentina,1987,9477962133.181082,Constant (2024) US$,sipri
Argentina,1988,9474151661.542715,Constant (2024) US$,sipri
Argentina,1989,7701164973.204747,Constant (2024) US$,sipri
Argentina,1990,5229927605.184641,Constant (2024) US$,sipri
Argentina,1991,5247796553.033741,Constant (2024) US$,sipri
Argentina,1992,4969173843.345724,Constant (2024) US$,sipri
Argentina,1993,4688929938.564431,Constant (2024) US$,sipri
Argentina,1994,5017216493.252714,Constant (2024) US$,sipri
Argentina,1995,4918053424.275707,Constant (2024) US$,sipri
Argentina,1996,4363932719.365402,Constant (2024) US$,sipri
Argentina,1997,4290929020.4165792,Constant (2024) US$,sipri
Argentina,1998,4325680791.367527,Constant (2024) US$,sipri
Argentina,1999,4457892904.9026375,Constant (2024) US$,sipri
Argentina,2000,4246409051.7260427,Constant (2024) US$,sipri
Argentina,2001,4183077015.8622046,Constant (2024) US$,sipri
Argentina,2002,3564750091.9330964,Constant (2024) US$,sipri
Argentina,2003,3671721156.275169,Constant (2024) US$,sipri
Argentina,2004,3778316818.988621,Constant (2024) US$,sipri
Argentina,2005,3968772247.8195686,Constant (2024) US$,sipri
Argentina,2006,4092243539.0321374,Constant (2024) US$,sipri
Argentina,2007,4426711269.046805,Constant (2024) US$,sipri
Argentina,2008,4398584624.144916,Constant (2024) US$,sipri
Argentina,2009,4740525859.671777,Constant (2024) US$,sipri
Argentina,2010,4690828373.174645,Constant (2024) US$,sipri
Argentina,2011,4623570380.407805,Constant (2024) US$,sipri
Argentina,2012,4566516878.96623,Constant (2024) US$,sipri
Argentina,2013,5116600606.600981,Constant (2024) US$,sipri
Argentina,2014,5293334727.48243,Constant (2024) US$,sipri
Argentina,2015,5242143625.184935,Constant (2024) US$,sipri
Argentina,2016,5100009087.691912,Constant (2024) US$,sipri
Argentina,2017,5529390005.759476,Constant (2024) US$,sipri
Argentina,2018,4920034815.432078,Constant (2024) US$,sipri
Argentina,2019,4476316962.63485,Constant (2024) US$,sipri
Argentina,2020,4173949332.5461636,Constant (2024) US$,sipri
Argentina,2021,4111415848.342207,Constant (2024) US$,sipri
Argentina,2022,4620291374.4192,Constant (2024) US$,sipri
Argentina,2023,5058438198.054317,Constant (2024) US$,sipri
Argentina,2024,4179838656.990005,Constant (2024) US$,sipri
Argentina,2025,3731044862.6533346,Constant (2024) US$,sipri
Armenia,1992,208177247.17575762,Constant (2024) US$,sipri
Armenia,1993,76779471.3463327,Constant (2024) US$,sipri
Armenia,1995,189741787.5766935,Constant (2024) US$,sipri
Armenia,1996,163645845.54513085,Constant (2024) US$,sipri
Armenia,1997,208083360.8386734,Constant (2024) US$,sipri
Armenia,1998,205252807.95808375,Constant (2024) US$,sipri
Armenia,1999,220886905.03830847,Constant (2024) US$,sipri
Armenia,2000,223906490.1385323,Constant (2024) US$,sipri
Armenia,2001,217412671.37749106,Constant (2024) US$,sipri
Armenia,2002,215032708.63130057,Constant (2024) US$,sipri
Armenia,2003,247631800.13183364,Constant (2024) US$,sipri
Armenia,2004,273244411.4928186,Constant (2024) US$,sipri
Armenia,2005,334297157.93267757,Constant (2024) US$,sipri
Armenia,2006,394910691.8614995,Constant (2024) US$,sipri
Armenia,2007,462904259.15608597,Constant (2024) US$,sipri
Armenia,2008,537251414.7426767,Constant (2024) US$,sipri
Armenia,2009,560022339.781406,Constant (2024) US$,sipri
Armenia,2010,585081226.118299,Constant (2024) US$,sipri
Armenia,2011,536138646.45855826,Constant (2024) US$,sipri
Armenia,2012,548976300.2191974,Constant (2024) US$,sipri
Armenia,2013,618034619.6203915,Constant (2024) US$,sipri
Armenia,2014,627532878.1036097,Constant (2024) US$,sipri
Armenia,2015,679302224.7966825,Constant (2024) US$,sipri
Armenia,2016,667895342.3542397,Constant (2024) US$,sipri
Armenia,2017,683655784.8582629,Constant (2024) US$,sipri
Armenia,2018,771684384.0890877,Constant (2024) US$,sipri
Armenia,2019,961332637.8057768,Constant (2024) US$,sipri
Armenia,2020,933881214.3225218,Constant (2024) US$,sipri
Armenia,2021,883096522.8915035,Constant (2024) US$,sipri
Armenia,2022,903503523.0132543,Constant (2024) US$,sipri
Armenia,2023,1328961026.021019,Constant (2024) US$,sipri
Armenia,2024,1418264456.49683,Constant (2024) US$,sipri
Armenia,2025,1645807258.8418968,Constant (2024) US$,sipri
Australia,1950,3192848998.0442758,Constant (2024) US$,sipri
Australia,1951,4586033314.654722,Constant (2024) US$,sipri
Australia,1952,5857113149.419829,Constant (2024) US$,sipri
Australia,1953,5895432312.62594,Constant (2024) US$,sipri
Australia,1954,5287587220.510912,Constant (2024) US$,sipri
Australia,1955,5369779458.253821,Constant (2024) US$,sipri
Australia,1956,5204072319.157091,Constant (2024) US$,sipri
Australia,1957,4995342679.7748,Constant (2024) US$,sipri
Australia,1958,4949441891.815638,Constant (2024) US$,sipri
Australia,1959,4977615530.190635,Constant (2024) US$,sipri
Australia,1960,4897135231.739613,Constant (2024) US$,sipri
Australia,1961,4893500847.385763,Constant (2024) US$,sipri
Australia,1962,5099718320.6341,Constant (2024) US$,sipri
Australia,1963,5734473115.470428,Constant (2024) US$,sipri
Australia,1964,6639853236.277826,Constant (2024) US$,sipri
Australia,1965,7668532206.699721,Constant (2024) US$,sipri
Australia,1966,9332499465.35495,Constant (2024) US$,sipri
Australia,1967,10978645434.842962,Constant (2024) US$,sipri
Australia,1968,11799910384.08123,Constant (2024) US$,sipri
Australia,1969,11406902441.137215,Constant (2024) US$,sipri
Australia,1970,10664831736.73176,Constant (2024) US$,sipri
Australia,1971,10363664962.687965,Constant (2024) US$,sipri
Australia,1972,10368305074.815027,Constant (2024) US$,sipri
Australia,1973,9931991746.639713,Constant (2024) US$,sipri
Australia,1974,9794766668.860075,Constant (2024) US$,sipri
Australia,1975,9953479932.025373,Constant (2024) US$,sipri
Australia,1976,10105919012.026419,Constant (2024) US$,sipri
Australia,1977,10159091668.251064,Constant (2024) US$,sipri
Australia,1978,10271053250.750675,Constant (2024) US$,sipri
Australia,1979,10614831938.093576,Constant (2024) US$,sipri
Australia,1980,11162401530.17315,Constant (2024) US$,sipri
Australia,1981,11918375591.001589,Constant (2024) US$,sipri
Australia,1982,12530133846.345005,Constant (2024) US$,sipri
Australia,1983,12962003549.43812,Constant (2024) US$,sipri
Australia,1984,13974584492.9693,Constant (2024) US$,sipri
Australia,1985,14652866224.131384,Constant (2024) US$,sipri
Australia,1986,14737024628.762777,Constant (2024) US$,sipri
Australia,1987,14236358311.45536,Constant (2024) US$,sipri
Australia,1988,13731199503.543495,Constant (2024) US$,sipri
Australia,1989,13615519617.449173,Constant (2024) US$,sipri
Australia,1990,13682620842.93933,Constant (2024) US$,sipri
Australia,1991,13916013111.67287,Constant (2024) US$,sipri
Australia,1992,14321944062.931787,Constant (2024) US$,sipri
Australia,1993,14864735364.954472,Constant (2024) US$,sipri
Australia,1994,15030984991.577387,Constant (2024) US$,sipri
Australia,1995,14559722480.520065,Constant (2024) US$,sipri
Australia,1996,14381402420.17376,Constant (2024) US$,sipri
Australia,1997,14639346342.499823,Constant (2024) US$,sipri
Australia,1998,15356001175.932755,Constant (2024) US$,sipri
Australia,1999,16107228819.227573,Constant (2024) US$,sipri
Australia,2000,16063272859.872173,Constant (2024) US$,sipri
Australia,2001,16699211193.489511,Constant (2024) US$,sipri
Australia,2002,17417245007.50413,Constant (2024) US$,sipri
Australia,2003,17741588096.026222,Constant (2024) US$,sipri
Australia,2004,18473059592.519382,Constant (2024) US$,sipri
Australia,2005,19118198903.070133,Constant (2024) US$,sipri
Australia,2006,20139788500.2056,Constant (2024) US$,sipri
Australia,2007,21377151511.900562,Constant (2024) US$,sipri
Australia,2008,22156625239.19614,Constant (2024) US$,sipri
Australia,2009,23825728784.83525,Constant (2024) US$,sipri
Australia,2010,24102874173.49826,Constant (2024) US$,sipri
Australia,2011,23768958776.409286,Constant (2024) US$,sipri
Australia,2012,22936004209.94474,Constant (2024) US$,sipri
Australia,2013,22736787156.41264,Constant (2024) US$,sipri
Australia,2014,24676812133.745823,Constant (2024) US$,sipri
Australia,2015,27201487462.06845,Constant (2024) US$,sipri
Australia,2016,29786839685.1766,Constant (2024) US$,sipri
Australia,2017,29733563836.224693,Constant (2024) US$,sipri
Australia,2018,29023643018.881237,Constant (2024) US$,sipri
Australia,2019,29810472640.23605,Constant (2024) US$,sipri
Australia,2020,31267502402.443874,Constant (2024) US$,sipri
Australia,2021,33394852322.944252,Constant (2024) US$,sipri
Australia,2022,33625166448.444187,Constant (2024) US$,sipri
Australia,2023,33238932516.455555,Constant (2024) US$,sipri
Australia,2024,34231448067.172016,Constant (2024) US$,sipri
Australia,2025,35263623518.75647,Constant (2024) US$,sipri
Austria,1957,1476235547.3552544,Constant (2024) US$,sipri
Austria,1958,1680018600.9920874,Constant (2024) US$,sipri
Austria,1959,1662150483.304866,Constant (2024) US$,sipri
Austria,1960,1558363414.6803102,Constant (2024) US$,sipri
Austria,1961,1496350946.9549053,Constant (2024) US$,sipri
Austria,1962,1575223196.7593381,Constant (2024) US$,sipri
Austria,1963,1931299926.2042286,Constant (2024) US$,sipri
Austria,1964,2429679563.7996645,Constant (2024) US$,sipri
Austria,1965,2010244728.9419396,Constant (2024) US$,sipri
Austria,1966,2309237163.712663,Constant (2024) US$,sipri
Austria,1967,2340059034.1021786,Constant (2024) US$,sipri
Austria,1968,2345088961.025729,Constant (2024) US$,sipri
Austria,1969,2413890908.0397277,Constant (2024) US$,sipri
Austria,1970,2388793928.4536047,Constant (2024) US$,sipri
Austria,1971,2299622623.0858817,Constant (2024) US$,sipri
Austria,1972,2383967039.0136657,Constant (2024) US$,sipri
Austria,1973,2476431571.609086,Constant (2024) US$,sipri
Austria,1974,2773267941.0302258,Constant (2024) US$,sipri
Austria,1975,3083013871.1450133,Constant (2024) US$,sipri
Austria,1976,3146757170.77835,Constant (2024) US$,sipri
Austria,1977,3247120753.403512,Constant (2024) US$,sipri
Austria,1978,3518710734.8116417,Constant (2024) US$,sipri
Austria,1979,3737354437.879224,Constant (2024) US$,sipri
Austria,1980,3735565997.16575,Constant (2024) US$,sipri
Austria,1981,3620102204.0825477,Constant (2024) US$,sipri
Austria,1982,3776035165.0442963,Constant (2024) US$,sipri
Austria,1983,3834790072.8778567,Constant (2024) US$,sipri
Austria,1984,3870213361.2901735,Constant (2024) US$,sipri
Austria,1985,4234001622.206251,Constant (2024) US$,sipri
Austria,1986,4371482025.22935,Constant (2024) US$,sipri
Austria,1987,4203150584.707223,Constant (2024) US$,sipri
Austria,1988,3973661379.3228836,Constant (2024) US$,sipri
Austria,1989,3932266234.097656,Constant (2024) US$,sipri
Austria,1990,3976360291.763081,Constant (2024) US$,sipri
Austria,1991,3994420459.046069,Constant (2024) US$,sipri
Austria,1992,3878268504.3575315,Constant (2024) US$,sipri
Austria,1993,3915573724.2852006,Constant (2024) US$,sipri
Austria,1994,3932785062.596448,Constant (2024) US$,sipri
Austria,1995,3898245152.5511546,Constant (2024) US$,sipri
Austria,1996,3861742094.763397,Constant (2024) US$,sipri
Austria,1997,3870417999.7659445,Constant (2024) US$,sipri
Austria,1998,3880981652.025298,Constant (2024) US$,sipri
Austria,1999,3960316097.1436043,Constant (2024) US$,sipri
Austria,2000,4055878415.9424586,Constant (2024) US$,sipri
Austria,2001,3779135686.5323925,Constant (2024) US$,sipri
Austria,2002,3712771897.235056,Constant (2024) US$,sipri
Austria,2003,3866566758.0969367,Constant (2024) US$,sipri
Austria,2004,3873384941.0905423,Constant (2024) US$,sipri
Austria,2005,3790192295.156329,Constant (2024) US$,sipri
Austria,2006,3640501345.1222415,Constant (2024) US$,sipri
Austria,2007,4329343914.788157,Constant (2024) US$,sipri
Austria,2008,4195600634.0923276,Constant (2024) US$,sipri
Austria,2009,3917743044.411391,Constant (2024) US$,sipri
Austria,2010,3895246890.1127987,Constant (2024) US$,sipri
Austria,2011,3806685060.6285324,Constant (2024) US$,sipri
Austria,2012,3756456724.0725393,Constant (2024) US$,sipri
Austria,2013,3610641875.1996117,Constant (2024) US$,sipri
Austria,2014,3640079669.8499765,Constant (2024) US$,sipri
Austria,2015,3480582857.130419,Constant (2024) US$,sipri
Austria,2016,3745802626.1849165,Constant (2024) US$,sipri
Austria,2017,3933080891.551872,Constant (2024) US$,sipri
Austria,2018,3957072738.0042095,Constant (2024) US$,sipri
Austria,2019,4046493109.3548236,Constant (2024) US$,sipri
Austria,2020,4511916388.820966,Constant (2024) US$,sipri
Austria,2021,4624507229.6109705,Constant (2024) US$,sipri
Austria,2022,4123988509.3806524,Constant (2024) US$,sipri
Austria,2023,4589128975.674938,Constant (2024) US$,sipri
Austria,2024,5294393827.606574,Constant (2024) US$,sipri
Austria,2025,5883185148.196221,Constant (2024) US$,sipri
Azerbaijan,1992,399515855.0321527,Constant (2024) US$,sipri
Azerbaijan,1993,420227473.6783127,Constant (2024) US$,sipri
Azerbaijan,1994,212312272.24814913,Constant (2024) US$,sipri
Azerbaijan,1995,175566765.7382925,Constant (2024) US$,sipri
Azerbaijan,1996,154588229.31174344,Constant (2024) US$,sipri
Azerbaijan,1997,177671494.91655952,Constant (2024) US$,sipri
Azerbaijan,1998,202474515.5438326,Constant (2024) US$,sipri
Azerbaijan,1999,264279560.532956,Constant (2024) US$,sipri
Azerbaijan,2000,280287590.6902264,Constant (2024) US$,sipri
Azerbaijan,2001,316344311.6947435,Constant (2024) US$,sipri
Azerbaijan,2002,340671076.0500961,Constant (2024) US$,sipri
Azerbaijan,2003,425330565.07590324,Constant (2024) US$,sipri
Azerbaijan,2004,515595639.59115916,Constant (2024) US$,sipri
Azerbaijan,2005,603953635.8158201,Constant (2024) US$,sipri
Azerbaijan,2006,1241042613.538434,Constant (2024) US$,sipri
Azerbaijan,2007,1348123893.5168607,Constant (2024) US$,sipri
Azerbaijan,2008,1814780931.1795273,Constant (2024) US$,sipri
Azerbaijan,2009,1603023637.7585068,Constant (2024) US$,sipri
Azerbaijan,2010,1517882563.5115108,Constant (2024) US$,sipri
Azerbaijan,2011,2887626488.632953,Constant (2024) US$,sipri
Azerbaijan,2012,2995506339.5837483,Constant (2024) US$,sipri
Azerbaijan,2013,3030257497.989216,Constant (2024) US$,sipri
Azerbaijan,2014,3041558106.83504,Constant (2024) US$,sipri
Azerbaijan,2015,3231992110.6554985,Constant (2024) US$,sipri
Azerbaijan,2016,2155618855.493377,Constant (2024) US$,sipri
Azerbaijan,2017,2262635018.8018823,Constant (2024) US$,sipri
Azerbaijan,2018,2380585182.074546,Constant (2024) US$,sipri
Azerbaijan,2019,2572558237.284099,Constant (2024) US$,sipri
Azerbaijan,2020,3021283655.3566923,Constant (2024) US$,sipri
Azerbaijan,2021,3422074042.599468,Constant (2024) US$,sipri
Azerbaijan,2022,3325790504.954723,Constant (2024) US$,sipri
Azerbaijan,2023,3640460863.7741137,Constant (2024) US$,sipri
Azerbaijan,2024,3777088235.294118,Constant (2024) US$,sipri
Azerbaijan,2025,4672660177.948972,Constant (2024) US$,sipri
Bahrain,1971,83285511.38780452,Constant (2024) US$,sipri
Bahrain,1972,79252818.40486813,Constant (2024) US$,sipri
Bahrain,1973,84442430.84651612,Constant (2024) US$,sipri
Bahrain,1974,105371494.09870878,Constant (2024) US$,sipri
Bahrain,1975,56695307.11683032,Constant (2024) US$,sipri
Bahrain,1976,74053573.63830407,Constant (2024) US$,sipri
Bahrain,1977,96770062.03011388,Constant (2024) US$,sipri
Bahrain,1978,235060412.51205721,Constant (2024) US$,sipri
Bahrain,1979,306648989.37111056,Constant (2024) US$,sipri
Bahrain,1980,324748023.09125215,Constant (2024) US$,sipri
Bahrain,1981,397718616.841844,Constant (2024) US$,sipri
Bahrain,1982,474841134.6645329,Constant (2024) US$,sipri
Bahrain,1983,271950886.74673605,Constant (2024) US$,sipri
Bahrain,1984,243576494.35071078,Constant (2024) US$,sipri
Bahrain,1985,254205904.73947373,Constant (2024) US$,sipri
Bahrain,1986,276699232.4873728,Constant (2024) US$,sipri
Bahrain,1987,281613442.52880573,Constant (2024) US$,sipri
Bahrain,1988,326856476.5998124,Constant (2024) US$,sipri
Bahrain,1989,338587321.5586829,Constant (2024) US$,sipri
Bahrain,1990,368198669.52231365,Constant (2024) US$,sipri
Bahrain,1991,401945791.4029339,Constant (2024) US$,sipri
Bahrain,1992,427042550.6381972,Constant (2024) US$,sipri
Bahrain,1993,416468871.9887595,Constant (2024) US$,sipri
Bahrain,1994,420962539.7816,Constant (2024) US$,sipri
Bahrain,1995,436693980.7093665,Constant (2024) US$,sipri
Bahrain,1996,465614158.09603864,Constant (2024) US$,sipri
Bahrain,1997,454561267.5347327,Constant (2024) US$,sipri
Bahrain,1998,467545092.6886308,Constant (2024) US$,sipri
Bahrain,1999,523299863.0216337,Constant (2024) US$,sipri
Bahrain,2000,519320897.6701177,Constant (2024) US$,sipri
Bahrain,2001,545137936.9613928,Constant (2024) US$,sipri
Bahrain,2002,653510086.7558534,Constant (2024) US$,sipri
Bahrain,2003,747258897.7904227,Constant (2024) US$,sipri
Bahrain,2004,752660342.6632911,Constant (2024) US$,sipri
Bahrain,2005,708006712.2147645,Constant (2024) US$,sipri
Bahrain,2006,776427186.1042033,Constant (2024) US$,sipri
Bahrain,2007,841447297.8425112,Constant (2024) US$,sipri
